iter	Passed	Remaining
831	2169	438
832	2172	435
833	2174	432
834	2177	430
835	2179	427
836	2181	424
837	2184	422
838	2186	419
839	2189	416
840	2191	414
841	2194	411
842	2196	409
843	2199	406
844	2202	403
845	2204	401
846	2206	398
847	2209	396
848	2212	393
849	2214	390
850	2217	388
851	2222	386
852	2225	383
853	2228	381
854	2231	378
855	2233	375
856	2236	373
857	2239	370
858	2241	367
859	2244	365
860	2246	362
861	2248	359
862	2251	357
863	2253	354
864	2256	352
865	2258	349
866	2261	346
867	2263	344
868	2266	341
869	2269	339
870	2271	336
871	2274	333
872	2276	331
873	2279	328
874	2281	325
875	2284	323
876	2286	320
877	2289	318
878	2291	315
879	2294	312
880	2296	310
881	2299	307
882	2301	304
883	2304	302
884	2306	299
885	2309	297
886	2311	294
887	2314	291
888	2316	289
889	2319	286
890	2322	284
891	2325	281
892	2330	279
893	2334	276
894	2338	274
895	2342	271
896	2346	269
897	2348	266
898	2351	264
899	2354	261
900	2357	259
901	2360	256
902	2363	253
903	2366	251
904	2370	248
905	2374	246
906	2377	243
907	2382	241
908	2384	238
909	2387	236
910	2390	233
911	2393	230
912	2396	228
913	2398	225
914	2401	223
915	2403	220
916	2405	217
917	2408	215
918	2410	212
919	2413	209
920	2415	207
921	2417	204
922	2420	201
923	2423	199
924	2425	196
925	2427	194
926	2430	191
927	2432	188
928	2436	186
929	2438	183
930	2441	180
931	2443	178
932	2446	175
933	2448	173
934	2451	170
935	2453	167
936	2456	165
937	2459	162
938	2461	159
939	2464	157
940	2466	154
941	2469	152
942	2472	149
943	2474	146
944	2477	144
945	2480	141
946	2482	138
947	2485	136
948	2487	133
949	2490	131
950	2493	128
951	2495	125
952	2498	123
953	2500	120
954	2503	117
955	2505	115
956	2508	112
957	2510	110
958	2513	107
959	2515	104
960	2518	102
961	2521	99
962	2524	96
963	2526	94
964	2529	91
965	2531	89
966	2534	86
967	2536	83
968	2538	81
969	2541	78
970	2543	75
971	2546	73
972	2548	70
973	2551	68
974	2553	65
975	2556	62
976	2558	60
977	2562	57
978	2564	55
979	2567	52
980	2569	49
981	2571	47
982	2574	44
983	2576	41
984	2579	39
985	2581	36
986	2584	34
